,Name,price
0,"APPLE iPhone 13 (Starlight, 128 GB)","₹51,999"
1,"APPLE iPhone 13 (Midnight, 128 GB)","₹51,999"
2,"APPLE iPhone 13 (Green, 128 GB)","₹51,999"
3,"APPLE iPhone 13 (Blue, 128 GB)","₹53,999"
4,"APPLE iPhone 13 Pro Max (Gold, 1 TB)","₹1,79,900"
5,"APPLE iPhone 13 (Pink, 128 GB)","₹53,999"
6,"APPLE iPhone 13 Pro Max (Silver, 1 TB)","₹1,79,900"
7,"APPLE iPhone 13 Pro (Silver, 1 TB)","₹1,69,900"
8,"APPLE iPhone 13 Pro Max (Sierra Blue, 1 TB)","₹1,79,900"
9,"APPLE iPhone 13 (Blue, 512 GB)","₹81,999"
10,"APPLE iPhone 13 Pro (Gold, 512 GB)","₹1,49,900"
11,"APPLE iPhone 13 (Starlight, 512 GB)","₹81,999"
12,"APPLE iPhone 13 ((PRODUCT)RED, 512 GB)","₹81,999"
13,"APPLE iPhone 13 Pro Max (Alpine Green, 1 TB)","₹1,79,900"
14,"APPLE iPhone 13 (Midnight, 512 GB)","₹81,999"
15,"APPLE iPhone 13 Pro Max (Graphite, 1 TB)","₹1,79,900"
16,"APPLE iPhone 13 (Green, 512 GB)","₹81,999"
17,"APPLE iPhone 13 ((PRODUCT)RED, 128 GB)","₹51,999"
18,"APPLE iPhone 13 (Midnight, 256 GB)","₹61,999"
19,"APPLE iPhone 13 Pro (Silver, 256 GB)","₹1,29,900"
20,"APPLE iPhone 13 (Starlight, 256 GB)","₹61,999"
21,"APPLE iPhone 13 (Blue, 256 GB)","₹61,999"
22,"APPLE iPhone 13 Pro Max (Gold, 512 GB)","₹1,59,900"
23,"APPLE iPhone 13 (Pink, 512 GB)","₹81,999"
